rowid,Score,log_n,visitor_avg,visitor_var,pageview_avg,pageview_var,is_conservative
1,NA,16.341507192113372,3.4398662243732665,4.832423585473432,3.271143584119794,4.585001633242524,0
2,NA,15.915125456086894,3.5561067122427996,5.035517436261304,3.5950517133354705,5.041426142665093,0
3,87.5,15.477433152362382,3.6583844545734947,5.052644954410657,3.581780327230749,5.405693134021752,0
4,NA,14.993527373877882,3.4740315933058565,4.723030492767077,3.3490158255274043,3.779581660749608,0
5,NA,14.579135343850425,3.4168282484534314,4.8898961974477135,3.0245743921695722,4.038500465106683,0
6,NA,14.353951833045825,3.647945431541889,4.848026556748971,3.5853002954575555,4.664251148893803,0
7,NA,14.272561040883554,3.7636913655396307,4.948713386039221,3.9037118794955137,4.731417715486111,0
8,NA,14.223904621153174,3.6806031139446453,4.985255256967454,3.8004476402968503,5.00733210819322,0
9,NA,13.974031246756947,3.4445307299755936,4.0459076184381155,3.456006784027767,3.238055518510137,0
10,82.5,13.891349750803291,3.7920648185154233,5.35051911039668,3.6751348660341048,5.0696782975480055,0
11,NA,13.812528277720721,3.6932125754736624,5.163459121872124,3.50370062459825,5.386158989308367,0
12,NA,13.798422814978627,3.5818980913481697,4.9861136886960615,3.5393910024810635,5.016802105132513,0
13,NA,13.729711745051588,3.9220742072572734,5.149703547595877,4.322147646403186,4.597840006609549,0
14,NA,13.728160587203066,3.6532978980430055,5.239209491434252,3.4233373797267905,5.52416621979617,0
15,100,13.674181021791576,3.681629718394248,5.123065122691856,3.521574215873454,5.1692025125905685,0
16,NA,13.544104975093143,3.0553272779700116,4.4659219489004585,2.5442147789586143,4.00812921051522,0
17,NA,13.425623847632451,3.6741102910065346,4.978323109414819,3.936663596080358,4.351372676499048,0
18,NA,13.274714118541603,3.881928703894498,5.164035955625487,3.925495555710295,5.298220646721974,0
19,NA,13.23109041925732,3.8860728143317096,4.899503012201027,3.9175100523362065,4.70983738153872,0
20,NA,13.15206643267002,2.904549870466321,3.8580247993911234,2.1103706280016556,2.2782983876659526,0
21,NA,13.035841048369978,3.218851809456723,4.528027458072227,3.390331541149489,3.915248180523757,0
22,NA,13.030408744186003,3.6254667662434654,5.12724742943584,3.8010617346312663,5.1362618731516445,0
23,NA,12.944496212698674,3.6608030406393137,5.128982504063394,3.2692118684960807,4.746760244652942,0
24,NA,12.794621124225886,3.2042458614347025,4.746430963384772,4.033366009333909,5.142410388378277,0
25,NA,12.759493243758829,3.8876338565351327,5.254592171070218,4.086847172580148,5.852640110536325,0
26,NA,12.744965013846873,3.26940286992748,4.787843930114398,2.993616407990284,4.076176821736807,0
27,NA,12.68118297592956,3.834878240377062,5.169370261707789,3.870774292558559,5.5065657906170555,0
28,NA,12.640284315561933,3.634658224879822,4.71618140580734,4.152807980436787,5.364135153608876,0
29,NA,12.613711271774548,3.660405797101449,5.216411013417372,3.91889743113465,5.679646344541718,0
30,NA,12.53332202386407,3.7155586414395647,5.355959164524969,3.5368392241163824,5.729338767182161,0
31,NA,12.489013876861396,3.7439334967084714,5.120635348580415,3.711471313014721,5.331863920195094,0
32,NA,12.48037280074643,3.695850815850816,5.377645035556851,2.9675614463470543,3.769068358445757,0
33,NA,12.467515990299926,3.706682894445674,5.080382466877721,3.8533419241547637,5.160424086975362,0
34,NA,12.46074944554509,2.8157894736842106,3.723091840975379,2.4180246153705722,3.014569906378849,0
35,NA,12.413311336664513,3.082172701949861,3.908161521039003,3.455183164878297,2.7843238356994506,0
36,NA,12.410382811390779,3.7182878986017505,5.246976033401913,3.5255450811678775,5.002758348907508,0
37,NA,12.409185549694852,3.494229309035687,4.897415250017882,3.639287760937052,4.898389992500811,0
38,NA,12.408418455511471,3.646389816360601,5.328458216388068,3.45735623965727,5.609517333941328,0
39,NA,12.366370693030058,3.5696797002796687,4.970012557033764,3.749871319804639,5.041887861650552,0
40,69.5,12.363156617130006,4.943086204159391,3.933967834276918,5.042637531691285,2.0248655992492184,1
41,NA,12.342066407996729,2.602440050483803,3.8532432018970453,2.6686693229586607,3.6998787002468316,0
